CAS or NOCAS-number,SMILES,TC TPO inhibition activity,Presence in test set marked with *
112410-23-8,C(=O)(c1cc(C)cc(C)c1)N(C(C)(C)C)NC(=O)c1ccc(CC)cc1,Inactive,
112529-15-4,C1(=O)C(Cc2ccc(OCCc3ccc(CC)cn3)cc2)SC(=O)N1,Inactive,
112733-06-9,C1(=O)c2c(cc(Cl)cc2)N(CC(=O)O)C(=O)N1Cc1c(F)cc(Br)cc1,Inactive,
113136-77-9,C(=O)(O)C1(C(=O)Nc2c(Cl)cc(Cl)cc2)CC1,Inactive,
113734-18-2,C(F)(F)(F)C1=NC(C(O)CNC(C)Cc2ccc(OCC(=O)O)cc2)=CS1,Inactive,
114311-32-9,C(=O)(O)c1c(C2=NC(C)(C(C)C)C(=O)N2)ncc(COC)c1,Inactive,
114369-43-6,C(#N)C(c1ccccc1)(CCc1ccc(Cl)cc1)CN1C=NC=N1,Inactive,
116714-46-6,C(=O)(c1c(F)cccc1F)NC(=O)Nc1cc(Cl)c(OC(F)(F)C(F)OC(F)(F)F)cc1,Inactive,
117337-19-6,c1(SCC(=O)OC)c(Cl)cc(F)c(N=C2N3CCCCN3C(=O)S2)c1,Inactive,
117428-22-5,C(=O)(C(c1c(COc2cccc(C(F)(F)F)n2)cccc1)=COC)OC,Inactive,
117718-60-2,C(F)(F)(F)c1c(C2=NCCS2)c(CC(C)C)c(C(=O)OC)c(C(F)F)n1,Inactive,
118134-30-8,C(C)(C)(C)C1CCC2(CC1)OC(CN(CCC)CC)CO2,Inactive,
119168-77-3,C(=O)(C1C(Cl)=C(CC)NN=1C)NCc1ccc(C(C)(C)C)cc1,Inactive,
119446-68-3,C1(c2c(Cl)cc(Oc3ccc(Cl)cc3)cc2)(CN2C=NC=N2)OC(C)CO1,Inactive,
119515-38-7,C(=O)(N1C(CCO)CCCC1)OC(C)CC,Inactive,
120068-37-3,C1(N)C(S(=O)C(F)(F)F)=C(C#N)NN=1c1c(Cl)cc(C(F)(F)F)cc1Cl,Inactive,
120116-88-3,c1(C2=C(Cl)N=C(C#N)N2S(=O)(=O)N(C)C)ccc(C)cc1,Inactive,
121552-61-2,c1(C2CC2)cc(C)nc(Nc2ccccc2)n1,Inactive,
122008-85-9,C(#N)c1cc(F)c(Oc2ccc(OC(C)C(=O)OCCCC)cc2)cc1,Inactive,
122836-35-5,c1(NS(C)(=O)=O)c(Cl)cc(Cl)c(N2C(=O)N(C(F)F)C(C)=N2)c1,Inactive,
123122-55-4,C(=O)(C1(CC(C(=O)Oc2cc3c(cc2)CCC3)COCCOC)CCCC1)NC1CCC(C(=O)O)CC1,Inactive,
123312-89-0,c1(C=NN2C(=O)NN=C(C)C2)cccnc1,Inactive,
123343-16-8,C(=O)(O)c1c(Cl)cccc1Sc1nc(OC)cc(OC)n1,Inactive,
124378-77-4,c12c(c(CC(=O)N(C)C3C(N4CCCC4)CC4(CCCO4)CC3)ccc1)C=CO2,Inactive,
124495-18-7,c1(Oc2ccc(F)cc2)c2c(Cl)cc(Cl)cc2ncc1,Inactive,
126833-17-8,C(=O)(C1(C)CCCCC1)Nc1c(Cl)c(Cl)c(O)cc1,Inactive,
127308-82-1,c12c(cc(CCN3CC(OC(c4ccccc4)c4ccccc4)CCC3)cc1)OCO2,Inactive,
128639-02-1,c1(N2C(=O)N(C(F)F)C(C)=N2)c(F)cc(Cl)c(CC(Cl)C(=O)OCC)c1,Inactive,
129298-91-5,C12(C(C3(C)C(CC=C(C)C)O3)C(OC)C(OC(=O)NC(=O)CCl)CC1)CO2,Inactive,
129453-61-8,C(F)(F)(F)C(F)(F)CCCS(=O)CCCCCCCCCC1C2C(c3c(cc(O)cc3)C1)CCC1(C)C(O)CCC21,Inactive,
129630-19-9,C1(c2c(F)cc(Cl)c(OCC(=O)OCC)c2)=C(Cl)C(OC(F)F)=N(C)N1,Inactive,
131341-86-1,C(#N)C1C(c2c3c(ccc2)OC(F)(F)O3)=CNC=1,Inactive,
131860-33-8,C(=O)(C(c1c(Oc2cc(Oc3c(C#N)cccc3)ncn2)cccc1)=COC)OC,Inactive,
131983-72-7,C1(C)(C)C(O)(CN2C=NC=N2)C(=Cc2ccc(Cl)cc2)CC1,Inactive,
134002-60-1,C(=O)(O)c1cc(CC2C(O)c3c(ccc(OCC4=Nc5c(ccc(F)c5)S4)c3)OC2)ccc1,Inactive,
134605-64-4,C(=O)(c1c(Cl)ccc(N2C(=O)C=C(C(F)(F)F)N(C)C2=O)c1)OC(C)(C)C(=O)OCC=C,Inactive,
135080-03-4,C1(C(=O)C2c3c(cc(Cl)c(F)c3)N(C(N)=O)C2=O)=CC(Cl)=CS1,Inactive,
135158-54-2,C(=O)(c1c2c(ccc1)N=NS2)SC,Active,
135410-20-7,c1(Cl)ccc(CN(C)C(C)=NC#N)cn1,Inactive,
136042-19-8,C1(c2c(-c3ccc(CN4c5c(cccn5)NC=4CCCC)cc3)cccc2)=NN=NN1,Inactive,
138261-41-3,c1(Cl)ccc(CN2C(=NN(=O)=O)NCC2)cn1,Inactive,
138472-01-2,C(N)(=O)C(C=C(C(C)N(=O)=O)CC)N=O,Active,
139290-65-6,c1(OC)c(OC)c(C(O)C2CCN(CCc3ccc(F)cc3)CC2)ccc1,Inactive,
141112-29-0,C1(C(=O)c2c(S(C)(=O)=O)cc(C(F)(F)F)cc2)=C(C2CC2)ON=C1,Inactive,
141517-21-7,C(=O)(C(c1c(CON=C(C)c2cc(C(F)(F)F)ccc2)cccc1)=NOC)OC,Inactive,
142459-58-3,C(F)(F)(F)C1=NN=C(OCC(=O)N(c2ccc(F)cc2)C(C)C)S1,Active,
144550-36-7,C(=O)(c1c(S(=O)(=O)NC(=O)Nc2nc(C)nc(OC)n2)cc(I)cc1)OC,Inactive,
145701-21-9,c1(Cl)c(NS(=O)(=O)C2=Nn3c(cc(F)nc3OCC)N2)c(Cl)ccc1,Active,
145742-28-5,c1(OC)c(CNC2C(c3ccccc3)NCCC2)cc(OC(F)(F)F)cc1,Inactive,
146011-65-6,c1(C2c3c(ccc(C)c3)OC=2CN(C(=O)Nc2c(F)cc(F)cc2F)Cc2ccccc2)ccc(Cl)cc1,Inactive,
148477-71-8,C1(=O)C(c2cc(Cl)cc(Cl)c2)=C(OC(=O)C(C)(C)CC)C2(CCCCC2)O1,Inactive,
149062-75-9,c1(Cl)c2c(cc(Cl)c1)N=C1CCCCCN1C2,Inactive,
149979-41-9,C(C1C(=O)CC(C2CCOCC2)CC1=O)(CC)=NOCC=CCl,Inactive,
151506-44-4,c1(C2C=C(C(F)F)NN=2c2ccc(OC)cc2)ccc(S(C)=O)cc1,Inactive,
153233-91-1,C1(c2c(F)cccc2F)=NC(c2c(OCC)cc(C(C)(C)C)cc2)CO1,Inactive,
153719-23-4,C1(CN2C(=NN(=O)=O)N(C)COC2)=CN=C(Cl)S1,Inactive,
155569-91-8,C12C3(O)C(C(=O)OC4CC5(C=CC(C)C(C(C)CC)O5)OC(CC=C(C)C(OC5CC(OC)C(OC6CC(OC)C(NC)C(C)O6)C(C)O5)C(C)C=CC=1)C4)C=C(C)C(O)C3OC2,Inactive,
156052-68-5,C(=O)(c1cc(Cl)c(C)c(Cl)c1)NC(C)(C(=O)CCl)CC,Inactive,
159138-81-5,C(=O)(c1cc(S(C)(=O)=O)c(C(C)C)cc1)N=C(N)N,Inactive,
161050-58-4,C(=O)(c1c(C)c(OC)ccc1)NN(C(=O)c1cc(C)cc(C)c1)C(C)(C)C,Inactive,
161326-34-7,C1(=O)C(C)(c2ccccc2)N=C(SC)N1Nc1ccccc1,Active,
162706-14-1,c1(C2c3c(cccc3)N(CCCCC(=O)O)C=2C)cccnc1,Inactive,
166412-78-8,C(=O)(C1C(C(=O)OCCCCCCC(C)C)CCCC1)OCCCCCCC(C)C,Inactive,
169590-42-5,c1(C2C=C(C(F)(F)F)NN=2c2ccc(S(N)(=O)=O)cc2)ccc(C)cc1,Inactive,
171866-31-2,C1(O)(c2ccc(F)cc2)CCN(C2C(O)c3c(cc(O)cc3)OC2)CC1,Inactive,
173584-44-6,C(=O)(C12C(c3c(cc(Cl)cc3)C1)=NN(C(=O)N(c1ccc(OC(F)(F)F)cc1)C(=O)OC)CO2)OC,Inactive,
174185-16-1,C(C)(C)(O)C1c2c(c(NC(=O)c3c(Cl)cccc3Cl)ccc2)OC=1C,Inactive,
175013-18-0,c1(N(C(=O)OC)OC)c(COC2C=CN(c3ccc(Cl)cc3)N=2)cccc1,Inactive,
177785-47-6,C1(=O)c2c(cccc2)SN1C(C(=O)O)C(C)CC,Inactive,
180084-01-9,c1(-c2c(C)cc(C3=NN=C(C)O3)cc2)ccc(C(=O)N2c3c(cc4c(C5(CCN(CC)CC5)CO4)c3)CC2)cc1,Inactive,
181274-15-7,C(=O)(c1c(S(=O)(=O)NC(=O)N2C(=O)N(C)C(OCCC)=N2)cccc1)OC,Inactive,
181640-09-5,C1(c2cc(F)c(F)cc2)(CCN2CCC(c3ccccc3)(NC(=O)N(C)C)CC2)CN(C(=O)c2ccccc2)CCO1,Inactive,
184653-84-7,C(C)(=O)c1cc2c(cc1)OC(C)(C)C(O)C2NC(=O)c1ccc(F)cc1,Inactive,
186392-65-4,C(=O)(C1=Cc2c(ccc(Cl)c2)N1)NC(C(O)C(=O)N1CC(O)C(O)C1)Cc1ccccc1,Inactive,
188425-85-6,c1(-c2c(NC(=O)c3c(Cl)nccc3)cccc2)ccc(Cl)cc1,Inactive,
188489-07-8,C(F)(F)(F)C1=C(C)C(=O)N(c2c(F)cc(Cl)c(OCC(=O)OCC)c2)N=C1,Inactive,
189003-92-7,C1(CCN2CCN(c3c4c(ccn3)SC=C4)CC2)c2c(cc(F)cc2)N(CC(N)=O)C(=O)C=1,Inactive,
194098-25-4,C(=O)(C1C2C(=O)CCCC=2NC=1)Nc1ccc(CNC)cc1,Inactive,
197077-55-7,C1(c2cccn(=O)c2)=NNC(COC)=N1c1c(Cl)c(Cl)cc2c1NC(=O)C(=O)N2,Inactive,
199119-58-9,c1(S(=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2)c(OCC(F)(F)F)cccn1,Inactive,
199171-88-5,C(#N)C1(c2cc3c(C(CC)NN3C3CCCCC3)cc2)CCC(C(=O)O)CC1,Inactive,
200940-23-4,C(F)(F)(F)c1c(C)cc2c(c1)N(C(=O)Nc1ccc(Oc3c(C)nccc3)nc1)CC2,Inactive,
210880-92-5,C1(CNC(=NN(=O)=O)NC)=CN=C(Cl)S1,Inactive,
214535-77-0,C(=O)(c1c(Oc2ccc(F)cc2)nccc1)NCc1ccc(C(C)(C)O)cc1,Inactive,
215297-27-1,C1(c2c(OCCC)ccc(S(=O)(=O)N3CCN(CC)CC3)c2)=NC2C(CC)=N(Cc3ccccn3)NC=2C(=O)N1,Inactive,
219714-96-2,C(F)(F)(F)c1c(S(=O)(=O)NC2=Nn3c(c(OC)cnc3OC)N2)c(OCC(F)F)ccc1,Inactive,
219790-72-4,c1(C2=C(c3ccc(F)cc3)N=CN2C(CO)CO)ccnc(Oc2ccccc2)n1,Inactive,
220860-50-4,C1(=O)c2c(ccc(OCC)n2)N=CC1C(=O)NCc1ccccc1,Inactive,
221246-12-4,c1(C2c3c(cccc3)S(=O)(=O)N(c3c(C(F)(F)F)cccc3)C=2C(=O)O)cc2c(c(CC)c1)OCO2,Inactive,
221671-62-1,C1(c2c(OC)cc(Cl)c(OC)c2)=C(CCC2CCCCC2)SC(NC(=O)C2=Cc3c(c(C)cc(C)c3)N2CC(=O)O)=N1,Inactive,
230954-09-3,C(=O)(C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1)NO,Active,
249296-43-3,C(N)(=O)C1(c2cc(Sc3ccc(N4=C(C)NC=C4)cc3)ccc2)CCOCC1,Inactive,
253450-09-8,c12c(cc(S(=O)CCN3CCC(Cc4ccc(F)cc4)CC3)cc1)OC(=O)N2,Inactive,
261947-38-0,C(F)(F)(F)c1cc(C(F)(F)F)cc(CN(C(C)=O)C2c3c(ccc(C(F)(F)F)c3)N(C(=O)OC(C)C)C(CC)C2)c1,Inactive,
263553-33-9,C(=O)(c1cc(OCC(C)Nc2ccncc2)cc(C)c1)N(C(C)C)CC,Inactive,
264618-44-2,C1(c2cc(Cl)c(Cl)cc2)(CCCN2CCC(c3ccccc3)(NC(=O)N(C)C)CC2)CCCN(C(=O)c2ccccc2)C1,Inactive,
288104-79-0,c1(C2C(CC)=C(C(=O)NN3CCCCC3)NN=2c2c(Cl)cc(Cl)cc2)ccc(Br)cc1,Inactive,
289716-94-5,c1(Cl)c(Cl)cc(Oc2c(CNC)cc(F)cc2)cc1,Inactive,
290352-28-2,C(=O)(O)C(=O)Nc1cc(C)c(Oc2c3c(c(O)cc2)CCC3)c(C)c1,Active,
291305-06-1,c12c(C(c3cc(Cl)c(Cl)cc3)CCC1NC)ccc(S(N)(=O)=O)c2,Inactive,
298198-52-4,c1(Br)ccc(OC(=O)N2C3CCN(CC3)CC2)cc1,Inactive,
331623-06-4,c1(CC(C)C(=O)O)c(C2c3c(C(c4cc5c(cc4)OCO5)C2C(=O)O)ccc(CCCC)n3)ccc(OC)c1,Inactive,
344930-95-6,C1(=O)c2c(C(C)C)cc(OC)cc2S(=O)(=O)N1COC1=CC(=O)N2C(C(OCCN3CCCCC3)=CC=C2)=N1,Inactive,
353280-07-6,C(=O)(c1c(Oc2cc3c(cc2)NON3)nccc1)NCc1ccc(C(C)(C)O)cc1,Inactive,
361377-29-9,C1(C(c2c(Oc3c(F)c(Oc4c(Cl)cccc4)ncn3)cccc2)=NOC)=NOCCO1,Inactive,
368832-42-2,c12c(C3C(C(=O)N1C)C3)cc(OC)c(CNC1C(c3ccccc3)NC(CC)CC1)c2,Inactive,
402910-27-4,c1(SC)c(C)cc(Oc2c(CN(C)C)cc(S(N)(=O)=O)cc2)cc1,Inactive,
439687-69-1,c1(C2(N3C(C(=O)N(C)C)CC(O)C3)c3c(ccc(Cl)c3)N(S(=O)(=O)c3c(OC)cc(OC)cc3)C2=O)c(OC)cccc1,Inactive,
444610-91-7,C(F)(F)(F)c1ccc(C2=NC(CN3CCN(c4ccc(OC)cc4)CC3)=C(CSc3cc(CC)c(OCC(=O)O)cc3)S2)cc1,Inactive,
445295-04-5,C(=O)(c1c(Oc2cc3c(cc2)OCO3)nccc1)NCc1c(F)cc(OC(C)C(=O)O)cc1,Active,
460081-99-6,C(=O)(O)c1cc(N(c2cc(OC(F)F)c(OC(F)F)cc2)Cc2cccnc2)ccc1,Active,
461023-63-2,C(=O)(O)c1ccc(Oc2ccc(CN3CCC4(C(=O)NC(C(O)C5CCCCC5)C(=O)N4CCCC)CC3)cc2)cc1,Inactive,
473289-62-2,c12c(C3CCCC(C(=O)O)N3C(=O)C(NC(=O)C(C(C)C)SC(C)=O)C1)cccc2,Inactive,
478149-53-0,C(=O)(c1cc2c(cn1)OC=C2)NC1C2CCN(CC2)C1,Inactive,
478263-98-8,C(=O)(c1c(NS(=O)(=O)c2c3c(cccn3)ccc2)ccc(F)c1)NC(c1ccccc1)CC,Inactive,
501027-49-2,C1(c2ccccc2)=NC(CCOc2c3c(ccc2)N(CCC(=O)O)C=C3)=C(C)O1,Active,
527680-56-4,C(=O)(c1cc2c(cc1)OCCO2)NC1C2CCN(CC2)C1,Inactive,
588941-45-1,c1(S(C)(=O)=O)c(Cl)cc(C(C(=O)Nc2cnccn2)CC2CCCC2)cc1,Inactive,
625114-41-2,c1(S(C)(=O)=O)c(Cl)cc(C(C(=O)Nc2cnccn2)CC2CC(=O)CC2)cc1,Inactive,
648917-13-9,C(=O)(c1c(Cl)cc(F)c(F)c1)NC(=O)Nc1c(N2CCC(C(=O)O)CC2)ccc(F)c1,Inactive,
668981-02-0,C1(c2c(F)ccc(F)c2)=C(C2CCC3N(C(C(C)C)NN3)C2)OC=N1,Inactive,
676116-04-4,C1(C)(C)c2c(c(C)cc(CCN3CCN(C4c5c(cccc5)SN=4)CC3)c2)NC(=O)C1,Inactive,
686756-87-6,c12c(cc(Nc3nc4c(cn3)CN(c3c(Br)cccc3)C(=O)N4C)cc1)OCC(CO)O2,Inactive,
742693-38-5,C(F)(F)(F)c1c(Cl)c(C(=O)NC(c2ccccc2)C2CCCCN2)ccc1,Inactive,
825643-57-0,C(=O)(C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N(C)c1c(-c2c(C)cc(F)cc2)cc(N2C(CO)C(O)CC2)nc1,Inactive,
851916-42-2,C(=O)(C1(C(C)C)CC(NC2C(OC)COCC2)CC1)N1Cc2c(CC1)ncc(C(F)(F)F)c2,Inactive,
862243-29-6,C(=O)(O)C1C(=O)c2c(cc(Cl)c(Nc3c(Cl)cc(F)cc3F)c2)N(c2c(C(=O)O)cccc2)C=1,Inactive,
864283-48-7,C(F)(F)(F)c1c(C#N)ccc(N(CC(N)=O)CC(F)(F)F)c1,Inactive,
929601-09-2,c12c(cc(OCC(=O)OCC)cc1)CC(NCC(O)c1cc(Cl)ccc1)CC2,Inactive,
1068967-96-3,C1(C)c2c(ccc(F)c2)N(NC(=O)c2c(C)nc(-c3ccccn3)nc2)C=1,Inactive,
1111134-74-2,C12C3(O)C(C(=O)OC4CC5(CCC(C)C(CC)O5)OC(CC=C(C)CC(C)C=CC=1)C4)C=C(C)C(O)C3OC2,Inactive,
1111147-24-8,c1(C2c3c4c(cc(C)c3)CCN4C(=O)C(NC(=O)c3ccncc3)N=2)ccccc1,Inactive,
1111147-26-5,C(=O)(C1(N(CCC(=O)O)S(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCCC1)NO,Active,
1111147-26-7,c1(C(C)O)nc(N2C(C)CN(c3nc(C)nc(C)n3)CC2C)ccn1,Inactive,
1111147-29-1,c1(C2c3c4c(cc(N)c3)CCN4C(=O)C(NC(=O)c3cccnc3)N=2)ccccc1,Active,
1111147-29-2,C1(CC2(CN)CCCCC2)=NOC(=O)N1,Inactive,
1111147-30-5,c1(NCc2c(OCC3=CC(C)=NO3)ccc(Cl)c2)c2c(ncn1)N(C1C(O)C(N)C(C(=O)NC)O1)=CN2,Inactive,
1111147-31-1,C(=O)(c1c(Cl)cc(F)c(S(=O)(=O)NC)c1)N1CCC(c2cc(F)ccc2)(CCN2C3CC(N4c5c(cccc5)NC=4C)CC2CC3)CC1,Inactive,
1111147-32-5,C1(c2cc3c(cc2)CCN(CCC2CCC(NC(=O)C=Cc4ccc(F)cc4)CC2)CC3)N=C(C)ON=1,Inactive,
1111147-33-0,C(#N)c1c(-c2c(F)ccc(C3=CNc4nc(C(C)(C)O)cnn34)c2)c(F)ccc1,Inactive,
1111147-33-3,c12c(ccc(CCCCCCC(c3cnc(C)nc3)CC(=O)O)n1)CCCN2,Inactive,
1111147-33-4,C12C(=C(NC3CCC(OCC(F)c4c(F)cccc4)CC3)NC=N1)C=NN=2,Inactive,
1111147-34-2,c1(-c2c(Cl)cc(C=CCN3CCCCCC3)cc2)cc(OC)ccc1,Inactive,
1111147-34-6,C(#N)C1CC(F)(F)CN1C(=O)CNC1CC2CCC(C1)N2c1ncccn1,Active,
1111147-36-4,C(F)(F)(F)c1c(Cl)c(C(=O)NC(c2ccccc2)C2C3CCN(CC3)C2)c(Cl)cc1,Inactive,
1111147-37-4,C(#N)c1c(NCc2ccccc2)c2c(cccc2)nc1NC(=O)c1ccc(OC)cc1,Inactive,
1111147-37-9,C1(=O)C(C)(c2c(C(=O)N(Cc3cccnc3)CC)cccc2Cl)c2c(ccc(Cl)c2)N1Cc1c(OC)cc(OC)cc1,Inactive,
1111147-38-1,C(=O)(C1=C(C)C(Br)=C(OCCC)S1)N1CCC(c2c(F)ccc(CN)c2)CC1,Inactive,
1111147-38-3,C(=O)(O)c1cc2c(cc1)N(CC1C=C(C3=CC=C(Cl)S3)ON=1)=C(C(=O)NC1CCN(C3CC3)CC1)N2,Inactive,
1111147-38-5,C(=O)(C1=Cc2c(cnc(OCCOC)c2)N1CC(=O)Nc1ccc(Cl)cn1)NC1CCN(C(C)C)CC1,Inactive,
1111147-38-7,C1(c2cc(Cl)c(Cl)cc2)(CCN2CCC(c3cc(F)ccc3)(NC(C)=O)CC2)CN(c2ccccc2)C(=O)CO1,Inactive,
1111148-17-6,C1(F)(F)C(=CC(=O)N2CCC(N3CCCCC3)CC2)c2c(cccc2)N(C(=O)c2ccc(NC(=O)C3=C(C)OC=C3)cc2)CC1,Inactive,
1111148-50-5,c1(C2c3c(ccc(N(=O)=O)c3)NC3C(=C(C)NN=3)N=2)c(Cl)cccc1,Active,
1111148-50-7,C1(Oc2c(F)cc(F)cc2)c2c(N(C)C(=O)C=1)nc(NCC(C)(C)O)nc2,Inactive,
1111148-50-9,c12c(cc(OC)cc1)CC(N(C1CCN(C(=O)C3CCNCC3)CC1)CCC)CC2,Inactive,
1111148-51-4,C(=O)(c1c(Cl)cc(C)cc1)NS(=O)(=O)C=Cc1ccc(OC)cc1,Inactive,
1111148-51-6,C(=O)(c1c(Cl)cc(F)cc1)NS(=O)(=O)C=Cc1ccccc1,Inactive,
1111148-51-8,C(=O)(c1c(Br)cc(F)cc1)NS(=O)(=O)C=CC1=CC=CS1,Inactive,
1191914-21-2,C(=O)(c1c(C)ncnc1C)N1CCC(C)(N2CCC3(C(CCCC)CN(CC4CCOCC4)C(=O)O3)CC2)CC1,Inactive,
